group,dom_bucket,interval,dom_correction,n_obs
A,early,00:00,1.0712340826670688,29
A,early,00:30,1.2106570422144556,30
A,early,01:00,1.079931292587447,27
A,early,01:30,1.1036761741045253,27
A,early,02:00,0.9582409053073128,24
A,early,02:30,1.195314889138948,25
A,early,03:00,1.1113212795153542,21
A,early,03:30,0.9750304168804046,18
A,early,04:00,1.049937449798116,19
A,early,04:30,0.8202488124616765,13
A,early,05:00,0.8706225190893804,22
A,early,05:30,1.0712072352360402,27
A,early,06:00,0.9912862654087002,28
A,early,06:30,1.0010837300548099,29
A,early,07:00,0.9248867757703627,30
A,early,07:30,0.9860214496607442,30
A,early,08:00,1.008782475369592,30
A,early,08:30,0.9934937819012732,30
A,early,09:00,0.9884744072961477,30
A,early,09:30,1.0163556715706366,30
A,early,10:00,1.0059730004521066,30
A,early,10:30,0.9968634104120165,30
A,early,11:00,1.0036821905030548,30
A,early,11:30,1.0104521204191572,30
A,early,12:00,1.0167683406749801,30
A,early,12:30,1.0058834723204881,30
A,early,13:00,0.9916135813062876,30
A,early,13:30,0.9843147364123966,30
A,early,14:00,0.9978643549292331,30
A,early,14:30,1.025103831801763,30
A,early,15:00,1.0008764599022866,30
A,early,15:30,0.9999935869650644,30
A,early,16:00,1.0094176284434841,30
A,early,16:30,1.007116788171363,30
A,early,17:00,1.0035855151839377,30
A,early,17:30,0.9706325296713204,30
A,early,18:00,1.0058185587089614,30
A,early,18:30,1.0142883489217438,30
A,early,19:00,0.9611250848205757,30
A,early,19:30,0.9902972315839983,30
A,early,20:00,0.9855450168753335,30
A,early,20:30,0.9996265104292895,30
A,early,21:00,1.096236828087464,30
A,early,21:30,0.9965111281698009,30
A,early,22:00,1.0401546268398394,30
A,early,22:30,0.9808666191260853,30
A,early,23:00,0.9958031100161115,30
A,early,23:30,0.9193184459657316,30
A,late,00:00,0.9162892817063866,29
A,late,00:30,0.8084423903090655,29
A,late,01:00,0.9682974099751332,29
A,late,01:30,0.9439112895553269,25
A,late,02:00,1.0728174129094694,23
A,late,02:30,0.8316753963393845,22
A,late,03:00,0.7063957552091721,18
A,late,03:30,1.0283748703259754,22
A,late,04:00,1.0017648000455004,19
A,late,04:30,1.1087511824333094,19
A,late,05:00,1.2836436887385103,17
A,late,05:30,1.0787716262201996,27
A,late,06:00,1.1194916504540047,27
A,late,06:30,0.9903744558605219,28
A,late,07:00,1.053976547770623,30
A,late,07:30,1.0913807874110344,30
A,late,08:00,1.0125895990537763,30
A,late,08:30,1.0328514588635782,30
A,late,09:00,1.0145511835306134,30
A,late,09:30,1.0034082844498726,30
A,late,10:00,1.0068047602050443,30
A,late,10:30,1.0285438422965743,30
A,late,11:00,1.0110717730050331,30
A,late,11:30,0.9926527594440813,30
A,late,12:00,0.9942328574633928,30
A,late,12:30,1.0149590559469206,30
A,late,13:00,1.0107874978551437,30
A,late,13:30,1.0154206036783782,30
A,late,14:00,1.0173474800865445,30
A,late,14:30,0.9871017600957602,30
A,late,15:00,1.0137008308631044,30
A,late,15:30,1.0179861495843778,30
A,late,16:00,0.9898376749450077,30
A,late,16:30,1.002203588541911,30
A,late,17:00,0.9832264940531114,30
A,late,17:30,1.0088269231650298,30
A,late,18:00,0.9973775301697722,30
A,late,18:30,0.9880402108969889,30
A,late,19:00,1.0200240581513687,30
A,late,19:30,1.031899918072439,30
A,late,20:00,1.008868437550474,30
A,late,20:30,1.0089403807361337,30
A,late,21:00,0.9394825921973906,30
A,late,21:30,1.0265187011362076,30
A,late,22:00,0.988112607904345,30
A,late,22:30,1.0121039267260312,30
A,late,23:00,1.027177983406311,30
A,late,23:30,1.0244887704146513,30
A,mid,00:00,1.0025487347513626,20
A,mid,00:30,0.9929148557624231,18
A,mid,01:00,0.9967353672822636,18
A,mid,01:30,1.054476974487388,18
A,mid,02:00,1.2204197730924693,14
A,mid,02:30,1.1948277827626521,12
A,mid,03:00,1.2582519906120697,11
A,mid,03:30,1.3320103685813132,10
A,mid,04:00,1.2540020587467586,9
A,mid,04:30,1.1392332320086498,10
A,mid,05:00,0.8865455175032068,11
A,mid,05:30,0.714203668666045,16
A,mid,06:00,0.965150107830912,17
A,mid,06:30,0.978673936742351,20
A,mid,07:00,1.0682692498259156,20
A,mid,07:30,1.003708880458724,20
A,mid,08:00,1.0288693909479167,20
A,mid,08:30,0.97899927987345,20
A,mid,09:00,0.9826912338487634,20
A,mid,09:30,0.9872031809494612,20
A,mid,10:00,0.9820066214344343,20
A,mid,10:30,1.008497105739133,20
A,mid,11:00,1.017268192138014,20
A,mid,11:30,1.0085807340227597,20
A,mid,12:00,1.0056910189282104,20
A,mid,12:30,0.9874772884189562,20
A,mid,13:00,1.0023942936272698,20
A,mid,13:30,1.0220632409494177,20
A,mid,14:00,0.984277996208989,20
A,mid,14:30,1.0096078693257544,20
A,mid,15:00,0.9835867755009922,20
A,mid,15:30,1.0010966110404018,20
A,mid,16:00,1.010734863641327,20
A,mid,16:30,1.0092680234322589,20
A,mid,17:00,1.0174685028046362,20
A,mid,17:30,1.02291245943381,20
A,mid,18:00,1.0310857147301142,20
A,mid,18:30,1.0208215171606978,20
A,mid,19:00,1.0575702991617943,20
A,mid,19:30,0.9673545113548171,20
A,mid,20:00,1.0241084050858174,20
A,mid,20:30,1.0231193974572335,20
A,mid,21:00,0.9910022939316213,20
A,mid,21:30,0.9663910921672733,20
A,mid,22:00,0.9449059951499714,20
A,mid,22:30,1.057626878484098,20
A,mid,23:00,0.9349340776584497,20
A,mid,23:30,1.0137029548689327,20
B,early,00:00,0.9924970819485128,30
B,early,00:30,1.0623344211770973,30
B,early,01:00,1.0649923741714162,30
B,early,01:30,0.9695948075422539,30
B,early,02:00,1.0054651385300737,30
B,early,02:30,1.0682583834671457,30
B,early,03:00,0.9269715539589766,27
B,early,03:30,0.9076421757488714,27
B,early,04:00,0.9404216957233021,27
B,early,04:30,1.0942785325689726,25
B,early,05:00,0.9770408337927526,26
B,early,05:30,0.9443440727348068,29
B,early,06:00,1.0187711278684803,29
B,early,06:30,0.8943417008652756,29
B,early,07:00,0.9244471287976143,30
B,early,07:30,1.0059764227269623,30
B,early,08:00,0.9469823036805233,30
B,early,08:30,1.0073054945934599,30
B,early,09:00,0.994258762470246,30
B,early,09:30,0.9956136574671243,30
B,early,10:00,0.9968595559654153,30
B,early,10:30,1.0079353068040615,30
B,early,11:00,1.0139193577998473,30
B,early,11:30,1.0204165181926395,30
B,early,12:00,1.0116302262649206,30
B,early,12:30,1.0233229581878374,30
B,early,13:00,1.0100322429049333,30
B,early,13:30,1.0040071440671605,30
B,early,14:00,1.0013737729321033,30
B,early,14:30,1.019785922678379,30
B,early,15:00,1.011761049755551,30
B,early,15:30,1.0110139100604068,30
B,early,16:00,1.0036307925963708,30
B,early,16:30,1.0026021304985357,30
B,early,17:00,1.001983129911157,30
B,early,17:30,0.9757271912562743,30
B,early,18:00,1.0026937364276083,30
B,early,18:30,0.9990017897421765,30
B,early,19:00,0.9927621014318732,30
B,early,19:30,1.005570858311245,30
B,early,20:00,0.9748463787199785,30
B,early,20:30,0.9995426020503017,30
B,early,21:00,1.0021338097299461,30
B,early,21:30,1.0220983583259713,29
B,early,22:00,0.9633212304901889,29
B,early,22:30,0.9809269877768781,29
B,early,23:00,0.982990525152161,29
B,early,23:30,1.0101132609031278,29
B,late,00:00,1.036583830750382,30
B,late,00:30,0.9672265381197305,30
B,late,01:00,0.9202912222494241,30
B,late,01:30,0.9807251139698356,30
B,late,02:00,0.9170514586688514,29
B,late,02:30,1.0922122482735679,29
B,late,03:00,0.8758554534215298,27
B,late,03:30,1.0670328042427841,26
B,late,04:00,1.0187892898103315,26
B,late,04:30,0.9316324619115871,22
B,late,05:00,1.0106320698891156,29
B,late,05:30,1.2336635183218174,27
B,late,06:00,0.9411372703048646,28
B,late,06:30,1.1926943143655815,30
B,late,07:00,1.1038452546641724,30
B,late,07:30,1.009636277240892,30
B,late,08:00,1.0384422116451657,30
B,late,08:30,1.0111497859423964,30
B,late,09:00,1.0339935343490227,30
B,late,09:30,1.028811335274062,30
B,late,10:00,1.0031209862903598,30
B,late,10:30,0.9936097256963417,30
B,late,11:00,1.0049522899617382,30
B,late,11:30,0.9827664247060478,30
B,late,12:00,0.9979903592944966,30
B,late,12:30,1.001751136150131,30
B,late,13:00,0.9932115667504268,30
B,late,13:30,1.0074609893571742,30
B,late,14:00,1.0026765409396454,30
B,late,14:30,0.9968908869938365,30
B,late,15:00,0.9868068041068859,30
B,late,15:30,0.9896290742298662,30
B,late,16:00,1.0059164327336483,30
B,late,16:30,1.0176542894718976,30
B,late,17:00,0.9862506623067336,30
B,late,17:30,1.0083025175116194,30
B,late,18:00,0.9835271159060511,30
B,late,18:30,1.00325012628742,30
B,late,19:00,0.9915299261285597,30
B,late,19:30,0.9900649707219807,30
B,late,20:00,1.0017078673216389,30
B,late,20:30,0.997659809084536,30
B,late,21:00,0.9776393160638271,30
B,late,21:30,0.9761469853233595,30
B,late,22:00,1.0198713584752948,30
B,late,22:30,0.995800881649712,30
B,late,23:00,0.9987517092683692,30
B,late,23:30,0.9722444508411521,30
B,mid,00:00,0.9953231106144952,27
B,mid,00:30,0.9863947774968973,27
B,mid,01:00,1.0555234341190753,27
B,mid,01:30,1.0517783862143306,27
B,mid,02:00,1.090079298081396,27
B,mid,02:30,0.9088487143996977,27
B,mid,03:00,1.2890943117944975,26
B,mid,03:30,1.213522542698205,23
B,mid,04:00,1.1298741449173562,20
B,mid,04:30,0.965968250928023,21
B,mid,05:00,1.1403316412917752,25
B,mid,05:30,0.9475212384130923,27
B,mid,06:00,1.0050488828085233,25
B,mid,06:30,0.9411041733567239,27
B,mid,07:00,0.9813555490581155,27
B,mid,07:30,0.9735725207068344,27
B,mid,08:00,1.0141793554809515,27
B,mid,08:30,0.9906692191439849,27
B,mid,09:00,0.9779511992124956,27
B,mid,09:30,0.985366977506212,27
B,mid,10:00,1.0016004684068163,27
B,mid,10:30,0.9998146738793383,27
B,mid,11:00,0.9746404302515985,27
B,mid,11:30,0.9946512749319603,27
B,mid,12:00,0.9908171378548728,27
B,mid,12:30,0.9731023150897635,27
B,mid,13:00,1.0002148706383875,27
B,mid,13:30,0.9892233163583031,27
B,mid,14:00,0.9925204366677101,27
B,mid,14:30,0.9824309239050804,27
B,mid,15:00,0.9998918028501838,27
B,mid,15:30,0.9971177955988227,27
B,mid,16:00,0.9966278391482526,27
B,mid,16:30,0.9802945413007959,27
B,mid,17:00,1.0109748312681643,27
B,mid,17:30,1.0150010075877116,27
B,mid,18:00,1.0143571970054923,27
B,mid,18:30,0.9959279195078201,27
B,mid,19:00,1.010740041577578,27
B,mid,19:30,0.9967714545252772,27
B,mid,20:00,1.017181949662005,27
B,mid,20:30,0.9903085642797346,27
B,mid,21:00,1.00938215023168,27
B,mid,21:30,1.0202840259852137,27
B,mid,22:00,1.010651307528733,27
B,mid,22:30,1.0175729165264826,27
B,mid,23:00,1.0259911005228894,27
B,mid,23:30,1.0193407290170042,27
C,early,00:00,1.0051448260208107,30
C,early,00:30,1.0370874722292653,30
C,early,01:00,1.0143206969583898,30
C,early,01:30,1.0000828933114387,30
C,early,02:00,1.00763082630175,30
C,early,02:30,1.0071409939996996,30
C,early,03:00,0.9589468863447561,30
C,early,03:30,0.9417768356803983,30
C,early,04:00,1.0414196102994828,30
C,early,04:30,0.9886831635603833,30
C,early,05:00,1.0307367011529098,30
C,early,05:30,1.053946607776486,30
C,early,06:00,1.0649686930057396,30
C,early,06:30,1.0201807792033004,30
C,early,07:00,0.9851116569165951,30
C,early,07:30,0.9549239346734172,30
C,early,08:00,0.97005877678413,30
C,early,08:30,0.9822408064158878,30
C,early,09:00,0.9867799688656981,30
C,early,09:30,1.0125469423785374,30
C,early,10:00,1.015591957744656,30
C,early,10:30,1.0040443212551353,30
C,early,11:00,0.9908485807185095,30
C,early,11:30,0.9930952573884178,30
C,early,12:00,1.0073155506099725,30
C,early,12:30,1.0012508618139522,30
C,early,13:00,1.0092491379700828,30
C,early,13:30,0.9955075949825959,30
C,early,14:00,1.0005733397904213,30
C,early,14:30,1.004652914012506,30
C,early,15:00,1.009160990766208,30
C,early,15:30,0.9999272144002288,30
C,early,16:00,0.9993091003518851,30
C,early,16:30,1.0033271317428583,30
C,early,17:00,1.0083015485867959,30
C,early,17:30,0.9953091986904754,30
C,early,18:00,1.0024965008020186,30
C,early,18:30,0.9890467549935498,30
C,early,19:00,1.0050606555051236,30
C,early,19:30,0.9974518431819348,30
C,early,20:00,0.9702642240127161,30
C,early,20:30,0.9762532727051507,30
C,early,21:00,0.9811458988639806,30
C,early,21:30,0.9733957665779546,30
C,early,22:00,1.0007944918338187,30
C,early,22:30,1.0002159789840475,30
C,early,23:00,0.9759555679445457,30
C,early,23:30,1.0126683968371386,30
C,late,00:00,0.972718534546462,30
C,late,00:30,0.9209180418719172,30
C,late,01:00,0.9552586433107084,30
C,late,01:30,0.94751660315295,30
C,late,02:00,0.9470414277378516,30
C,late,02:30,0.9462262451956389,30
C,late,03:00,0.9982068594067679,30
C,late,03:30,0.9706547420936761,30
C,late,04:00,0.9642342350041471,30
