group,day_of_month,interval,dom_correction,n_obs
A,1,00:00,0.9787285404841767,2
A,1,00:30,0.6646051647450844,3
A,1,01:00,1.3031578070321614,3
A,1,01:30,1.0398867167165329,3
A,1,02:00,0.9243622350674374,3
A,1,02:30,1.5823606982333893,3
A,1,03:00,0.6315624744849361,3
A,1,03:30,1.1076619827376823,3
A,1,05:00,0.6631405982091828,2
A,1,05:30,1.2379851362510323,3
A,1,06:00,1.4359027974091119,3
A,1,06:30,1.283211805392097,3
A,1,07:00,0.7330219545617404,3
A,1,07:30,1.3025724288941198,3
A,1,08:00,0.9625030214646778,3
A,1,08:30,0.9310268116819759,3
A,1,09:00,1.071953772821646,3
A,1,09:30,1.0712010276172126,3
A,1,10:00,0.9601789420803258,3
A,1,10:30,1.0312928378360295,3
A,1,11:00,0.8881705013785742,3
A,1,11:30,0.9674058713073654,3
A,1,12:00,1.1049838572249568,3
A,1,12:30,0.9997767820432752,3
A,1,13:00,0.9195129191798542,3
A,1,13:30,0.9553175213418177,3
A,1,14:00,1.0053824520135604,3
A,1,14:30,1.0075393274503968,3
A,1,15:00,0.9612966498658987,3
A,1,15:30,0.9336343486955585,3
A,1,16:00,0.9210419441732496,3
A,1,16:30,1.1070947563079618,3
A,1,17:00,0.9791688379737997,3
A,1,17:30,0.9902331382374314,3
A,1,18:00,0.9069496754903426,3
A,1,18:30,0.9979952835479472,3
A,1,19:00,0.947982302559841,3
A,1,19:30,1.1438976122401754,3
A,1,20:00,0.9920935861319674,3
A,1,20:30,1.2088897584433456,3
A,1,21:00,1.2617580444217482,3
A,1,21:30,1.259652125514221,3
A,1,22:00,1.1882524693035441,3
A,1,22:30,0.9714653517562593,3
A,1,23:00,1.1840474915017212,3
A,1,23:30,1.1581492027473599,3
A,2,00:00,1.1172009806322694,3
A,2,00:30,1.3412907122125795,3
A,2,01:00,0.8239357232162987,3
A,2,01:30,1.0404016084107095,3
A,2,02:00,0.951176766473407,3
A,2,02:30,0.8917282185688191,3
A,2,03:00,1.1146602732110238,3
A,2,03:30,0.610209971494081,2
A,2,04:00,0.6438096781964773,3
A,2,04:30,0.9892191720997101,2
A,2,05:00,0.6763045084996304,3
A,2,05:30,1.938672289920703,3
A,2,06:00,1.4713137914576766,3
A,2,06:30,0.6028797974753406,3
A,2,07:00,1.3289285858327398,3
A,2,07:30,0.9215070588603342,3
A,2,08:00,1.2443880487934944,3
A,2,08:30,0.922926432737065,3
A,2,09:00,0.9446880004099848,3
A,2,09:30,1.007391711353896,3
A,2,10:00,1.0933496263632156,3
A,2,10:30,0.8721253999461756,3
A,2,11:00,1.0044949127465799,3
A,2,11:30,0.9619207802251021,3
A,2,12:00,0.9324825161068633,3
A,2,12:30,0.9935803718999582,3
A,2,13:00,0.8981567433164831,3
A,2,13:30,0.9274200448197366,3
A,2,14:00,0.9865305776869209,3
A,2,14:30,0.9331486798171169,3
A,2,15:00,1.069606057433965,3
A,2,15:30,1.0094692003917476,3
A,2,16:00,0.9494501568271623,3
A,2,16:30,0.9952032611882261,3
A,2,17:00,0.9887228678595585,3
A,2,17:30,0.9476406625954263,3
A,2,18:00,0.9601108647450111,3
A,2,18:30,1.0916279202106236,3
A,2,19:00,0.9275442850200899,3
A,2,19:30,0.9741111998616341,3
A,2,20:00,1.0836732894076582,3
A,2,20:30,0.9947967479674795,3
A,2,21:00,1.072405665242168,3
A,2,21:30,1.1420891212899191,3
A,2,22:00,0.94713766187997,3
A,2,22:30,1.3623625561468067,3
A,2,23:00,1.268070953436807,3
A,2,23:30,1.0332429990966578,3
A,3,00:00,1.4555339805825245,3
A,3,00:30,1.0916614020509139,3
A,3,01:00,0.3673698826432474,3
A,3,01:30,0.5458143264319181,3
A,3,02:00,0.5035485629575069,3
A,3,02:30,0.5838706227469302,2
A,3,03:00,0.6293454175679707,2
A,3,03:30,0.70888039964737,1
A,3,04:00,1.5416125281777715,2
A,3,04:30,0.5343657350105063,3
A,3,05:00,0.8861004995592126,3
A,3,05:30,0.43319463707813227,3
A,3,06:00,0.9683933764786861,3
A,3,06:30,1.0633205994710548,3
A,3,07:00,1.2858175498690312,3
A,3,07:30,1.3291507493388186,3
A,3,08:00,0.8355185745747454,3
A,3,08:30,1.089726758180827,3
A,3,09:00,1.0128576629820756,3
A,3,09:30,1.0418266808981531,3
A,3,10:00,1.026886668657188,3
A,3,10:30,1.0340666083382317,3
A,3,11:00,1.1042276816974852,3
A,3,11:30,1.0631339787317784,3
A,3,12:00,1.0969232821795079,3
A,3,12:30,1.0561887153161684,3
A,3,13:00,0.988777341451712,3
A,3,13:30,0.9666373751007158,3
A,3,14:00,0.9214819732372111,3
A,3,14:30,1.0811564353447798,3
A,3,15:00,0.9045773507237101,3
A,3,15:30,0.9224390058502843,3
A,3,16:00,1.0678511358902587,3
A,3,16:30,0.9276438493929804,3
A,3,17:00,0.9903860087576309,3
A,3,17:30,0.9051479982217927,3
A,3,18:00,0.8753587777681333,3
A,3,18:30,1.0658922142766099,3
A,3,19:00,0.9178755359575703,3
A,3,19:30,1.0531798576262867,3
A,3,20:00,0.9129003780318893,3
A,3,20:30,1.0274723663058771,3
A,3,21:00,1.1120572192843303,3
A,3,21:30,1.0830117216834818,3
A,3,22:00,0.9599422078558134,3
A,3,22:30,0.8285897967611601,3
A,3,23:00,1.1578111209179172,3
